uid,latitude,longitude,reported_capacity,num_labelers,plant_type,production_type,plant_area_mean,plant_area_median,plant_area_max,kiln_area_mean,kiln_area_median,kiln_area_max
CHN0886,31.109304,119.721986,2.7,3,Integrated,Dry,634194.7649518659,628572.4740780558,768720.4221430323,563.9200323399589,572.5587310712442,618.2689125433687
CHN0887,31.521269,117.899484,,3,Integrated,Dry,491215.7072216599,530414.6951711487,608739.445534433,1075.7347971350764,1048.4553268200766,1136.168503752153
CHN0888,40.522194,117.606141,,3,Integrated,Dry,253758.0657244957,277160.60140813317,280564.5318594044,477.8928304927087,435.7363669566479,642.8828059258764
CHN0889,40.783722,118.259527,,3,Integrated,Dry,382961.19315071905,338908.39840872283,643914.5617611745,259.0234517869972,234.24341593427638,330.3004396518273
CHN0890,34.941037,115.853247,,2,Grinding,Wet,93827.76334504422,93827.76334504422,99800.05043186972,0.0,0.0,0.0
CHN0891,32.16752,119.070801,,3,Integrated,Dry,731818.193579806,777084.788115773,952567.4268395378,850.410006997483,953.0116695295583,1007.9902218662749
CHN0892,26.349949,105.93249,,3,Integrated,Dry,255033.97054328703,152640.90405965713,472720.1680245056,251.20699420153178,252.99504844084817,264.1345868235582
CHN0893,36.297887,113.138464,,3,Integrated,Dry,428734.70942724,446346.6060616564,466213.65314445645,554.8772323800276,541.9396988142429,608.0048170143418
CHN0894,21.848321,108.463072,,3,Grinding,Wet,77944.67633051403,85670.46101920663,91744.06394543259,0.0,0.0,0.0
CHN0895,37.462842,110.95127,,3,Integrated,Dry,579180.8569148317,649639.9000697751,702835.9780805096,697.3442375963735,698.6941454314717,706.9961613434518
CHN0896,23.209965,109.155783,,3,Integrated,Dry,215629.72278125663,102395.1741175265,449514.36007024674,459.81825707352283,458.8974754223866,496.6811007544437
CHN0897,23.642102,114.366638,,3,Integrated,Dry,230444.96053948303,232490.15037196595,264484.89369011536,242.9247038979375,212.90689327235913,313.3942443934156
CHN0898,21.643025,110.152792,,3,Integrated,Dry,252728.00252965628,317495.9430132081,405143.16128205496,393.9259974063108,452.31813477822715,489.7789161712945
CHN0899,26.249001,119.580219,,3,Grinding,Wet,67542.84830555691,68649.5355308523,87598.76729032605,0.0,0.0,0.0
CHN0900,25.055917,117.058837,,2,Integrated,Dry,189648.72647386562,189648.72647386562,252033.6514158397,385.823421706541,385.823421706541,457.9102588330234
CHN0901,22.559853,110.196576,,3,Integrated,Dry,275362.7262552636,280090.9599750706,474464.2375469768,353.3331316383812,329.1905208958428,417.29110034731957
CHN0902,22.618681,111.723067,,3,Integrated,Dry,252288.55572036872,238928.83106542082,482613.2243726919,379.4111109312749,424.7551405726557,427.1595532070705
CHN0903,25.290296,100.549139,,3,Integrated,Dry,236031.61123370033,254724.9941474649,325524.7766342575,393.79758189219166,581.4025547985768,599.9901908779982
